path	genesis_commit	genesis_author_date	genesis_subject
.codex/CHECKS/coverage_audit.py	d844f2eb3abfe31ee7651bb5f2260ea4988c13df	2026-02-02T18:26:45Z	Audit Harness_V1
.codex/CHECKS/rg_index.ps1	4c245c6e90eec04733739f8879d1868e977f0257	2026-02-02T14:36:41Z	Add codex audit harness (prompts + checks); ignore runtime and runs
.codex/CHECKS/run_audit_pack.ps1	4c245c6e90eec04733739f8879d1868e977f0257	2026-02-02T14:36:41Z	Add codex audit harness (prompts + checks); ignore runtime and runs
.codex/CHECKS/snapshot_tree.ps1	4c245c6e90eec04733739f8879d1868e977f0257	2026-02-02T14:36:41Z	Add codex audit harness (prompts + checks); ignore runtime and runs
.codex/PROMPTS/PASS_0_OPERATING_RULES.md	4c245c6e90eec04733739f8879d1868e977f0257	2026-02-02T14:36:41Z	Add codex audit harness (prompts + checks); ignore runtime and runs
.codex/PROMPTS/PASS_1_READONLY_GRAPH_AUDIT.md	4c245c6e90eec04733739f8879d1868e977f0257	2026-02-02T14:36:41Z	Add codex audit harness (prompts + checks); ignore runtime and runs
.codex/PROMPTS/PASS_2_EVIDENCE_ANCHOR.md	4c245c6e90eec04733739f8879d1868e977f0257	2026-02-02T14:36:41Z	Add codex audit harness (prompts + checks); ignore runtime and runs
.codex/PROMPTS/PASS_3_DRIFT_CONTRADICTIONS.md	4c245c6e90eec04733739f8879d1868e977f0257	2026-02-02T14:36:41Z	Add codex audit harness (prompts + checks); ignore runtime and runs
.codex/_scratch/BACKFILL_REPORT.md	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/BACKFILL_SUMMARY.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/CLASSIFIER_COVERAGE_DIFF_PREVIEW.txt	e8a4c9c01014bcc7cb3586f68b41d68697886191	2026-02-10T14:49:14Z	CONT: Add refined classifier coverage analysis pipeline v2
.codex/_scratch/CLASSIFIER_COVERAGE_PROPOSAL_v0.2.md	e8a4c9c01014bcc7cb3586f68b41d68697886191	2026-02-10T14:49:14Z	CONT: Add refined classifier coverage analysis pipeline v2
.codex/_scratch/CLASSIFIER_COVERAGE_STATS_BEFORE_AFTER.json	e8a4c9c01014bcc7cb3586f68b41d68697886191	2026-02-10T14:49:14Z	CONT: Add refined classifier coverage analysis pipeline v2
.codex/_scratch/CLASSIFIER_UNKNOWN_ANALYSIS.json	e8a4c9c01014bcc7cb3586f68b41d68697886191	2026-02-10T14:49:14Z	CONT: Add refined classifier coverage analysis pipeline v2
.codex/_scratch/DEV_CHANGE_CLASSIFICATION_OVERLAY_BACKFILL.jsonl	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/DEV_CHANGE_CLASSIFICATION_OVERLAY_BACKFILL.stats.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/DEV_CHANGE_CLASSIFICATION_OVERLAY_SIMULATED_v0.2.jsonl	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/DEV_CHANGE_LEDGER_BACKFILL.jsonl	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/DEV_CHANGE_LEDGER_BACKFILL.stats.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/HISTORY_REPORT.md	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/NORMALIZATION_NOTES.md	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/OVC_DEVELOPMENT_TIMELINE_DERIVED.md	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/UNKNOWN_PATH_CLUSTERS.json	e8a4c9c01014bcc7cb3586f68b41d68697886191	2026-02-10T14:49:14Z	CONT: Add refined classifier coverage analysis pipeline v2
.codex/_scratch/_analysis_pipeline.py	e8a4c9c01014bcc7cb3586f68b41d68697886191	2026-02-10T14:49:14Z	CONT: Add refined classifier coverage analysis pipeline v2
.codex/_scratch/_analysis_pipeline_v2.py	e8a4c9c01014bcc7cb3586f68b41d68697886191	2026-02-10T14:49:14Z	CONT: Add refined classifier coverage analysis pipeline v2
.codex/_scratch/_gen_timeline_v02.py	50a130f3ee20ad2b47a67accee3f1000d4c43dad	2026-02-10T15:18:20Z	CONT: Implement v0.2 additive classifier rules and build overlay files
.codex/_scratch/_script.b64	50a130f3ee20ad2b47a67accee3f1000d4c43dad	2026-02-10T15:18:20Z	CONT: Implement v0.2 additive classifier rules and build overlay files
.codex/_scratch/analyze.py	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/backfill_pipeline.py	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/classifier_rules.snapshot.json	e8a4c9c01014bcc7cb3586f68b41d68697886191	2026-02-10T14:49:14Z	CONT: Add refined classifier coverage analysis pipeline v2
.codex/_scratch/epoch_ranges.macro.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/epoch_ranges.micro.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/history_metrics.backfill.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/history_metrics.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/history_spine.txt	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/history_spine_full.txt	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/macro_merge_trace.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/micro_epoch_labels.json	f901cd31bb5e011edcd0714a6887b666f1e8286d	2026-02-10T13:59:40Z	Git Timeline: macro merge trace and micro epoch labels JSON files
.codex/_scratch/v0_2_apply_report.md	50a130f3ee20ad2b47a67accee3f1000d4c43dad	2026-02-10T15:18:20Z	CONT: Implement v0.2 additive classifier rules and build overlay files
.codex/_scratch/v0_2_overlay_stats.json	50a130f3ee20ad2b47a67accee3f1000d4c43dad	2026-02-10T15:18:20Z	CONT: Implement v0.2 additive classifier rules and build overlay files
.codex/_scratch/v0_2_repro_check.txt	c3cf19d2bd8f193ae45c2c49a30171e58e73375e	2026-02-10T15:43:04Z	cont. Enhance timeline generation and reproducibility checks
.codex/_scratch/v0_2_timeline_stats.json	c3cf19d2bd8f193ae45c2c49a30171e58e73375e	2026-02-10T15:43:04Z	cont. Enhance timeline generation and reproducibility checks
.codex/config.toml	b19cf71b1d1c48b59e5ba5853e37c33a45688220	2026-02-02T19:31:01Z	Refactor rg_index.ps1 queries and update workspace.json for GRAPH_51__EXTERNAL_STORES; add preflight_parse.ps1 and config.toml for script validation
.gitattributes	80f9e62ee44ec31d1de27585923a72d085a2b2e9	2026-01-22T03:58:57Z	Add .gitattributes for LF normalization
.github/copilot-instructions.md	b1e87b4a798398971745dab4f7b835ba1b633dc4	2026-01-18T09:35:36Z	Option B Sealed
.github/copilot-instructions.txt	b1e87b4a798398971745dab4f7b835ba1b633dc4	2026-01-18T09:35:36Z	Option B Sealed
.github/pull_request_template.md	2a68adf9762ff6910ea1883a6d5cf1f999cf7dae	2026-02-07T18:29:46Z	docs(pr): add change classification section to PR template
