block2h,block_id,x_energy,y_shift,quadrant_id,quadrant_name
A,20260117-A-GBPUSD,0.420000,-0.100000,Q2,Consolidation
B,20260117-B-GBPUSD,0.550000,-0.200000,Q2,Consolidation
C,20260117-C-GBPUSD,0.620000,-0.150000,Q1,Expansion
D,20260117-D-GBPUSD,0.700000,0.100000,Q1,Expansion
E,20260117-E-GBPUSD,0.750000,0.450000,Q3,Reversal
F,20260117-F-GBPUSD,0.520000,0.500000,Q4,Retracement
G,20260117-G-GBPUSD,0.480000,0.300000,Q2,Consolidation
H,20260117-H-GBPUSD,0.580000,-0.400000,Q4,Retracement
I,20260117-I-GBPUSD,0.660000,-0.550000,Q3,Reversal
J,20260117-J-GBPUSD,0.630000,-0.200000,Q1,Expansion
K,20260117-K-GBPUSD,0.570000,0.050000,Q2,Consolidation
L,20260117-L-GBPUSD,0.400000,0.150000,Q2,Consolidation
